,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
0,22.11.06,2022 롤드컵 결승전 5세트,DRX Deft,케이틀린,승,5,0,4
1,22.11.06,2022 롤드컵 결승전 4세트,DRX Deft,바루스,승,3,3,4
2,22.11.06,2022 롤드컵 결승전 3세트,DRX Deft,칼리스타,패,4,3,5
3,22.11.06,2022 롤드컵 결승전 2세트,DRX Deft,바루스,승,6,1,6
4,22.11.06,2022 롤드컵 결승전 1세트,DRX Deft,시비르,패,1,3,1
5,22.10.31,2022 롤드컵 4강 2경기 4세트,DRX Deft,바루스,승,5,0,6
6,22.10.31,2022 롤드컵 4강 2경기 3세트,DRX Deft,바루스,승,3,2,4
7,22.10.31,2022 롤드컵 4강 2경기 2세트,DRX Deft,케이틀린,승,5,0,3
8,22.10.31,2022 롤드컵 4강 2경기 1세트,DRX Deft,미스 포츈,패,0,3,1
9,22.10.24,2022 롤드컵 8강 4경기 5세트,DRX Deft,이즈리얼,승,2,1,7
10,22.10.24,2022 롤드컵 8강 4경기 4세트,DRX Deft,칼리스타,승,2,1,9
11,22.10.24,2022 롤드컵 8강 4경기 3세트,DRX Deft,드레이븐,승,5,1,2
12,22.10.24,2022 롤드컵 8강 4경기 2세트,DRX Deft,이즈리얼,패,3,4,4
13,22.10.24,2022 롤드컵 8강 4경기 1세트,DRX Deft,애쉬,패,1,4,3
14,22.10.16,2022 롤드컵 타이브레이커 ,DRX Deft,케이틀린,승,1,1,6
15,22.10.16,2022 롤드컵 그룹스테이지 7일차 6경기 ,DRX Deft,미스 포츈,패,1,1,0
16,22.10.16,2022 롤드컵 그룹스테이지 7일차 4경기 ,DRX Deft,애쉬,승,8,2,10
17,22.10.16,2022 롤드컵 그룹스테이지 7일차 3경기 ,DRX Deft,애쉬,승,5,2,4
18,22.10.11,2022 롤드컵 그룹스테이지 4일차 6경기 ,DRX Deft,트리스타나,승,1,1,5
19,22.10.10,2022 롤드컵 그룹스테이지 3일차 6경기 ,DRX Deft,케이틀린,승,2,1,8
20,22.10.09,2022 롤드컵 그룹스테이지 2일차 1경기 ,DRX Deft,미스 포츈,패,3,3,5
21,22.10.03,2022 롤드컵 플레이-인 스테이지 4일 차 5경기 ,DRX Deft,시비르,승,2,1,8
22,22.10.02,2022 롤드컵 플레이-인 스테이지 3일 차 8경기 ,DRX Deft,미스 포츈,승,5,1,10
23,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 8경기 ,DRX Deft,미스 포츈,승,4,3,12
24,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 6경기 ,DRX Deft,이즈리얼,승,3,0,4
25,22.09.30,2022 롤드컵 플레이-인 스테이지 1일 차 8경기 ,DRX Deft,트리스타나,승,9,1,6
26,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 5세트,DRX Deft,제리,승,8,1,9
27,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 4세트,DRX Deft,제리,승,5,0,1
28,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 3세트,DRX Deft,제리,패,1,2,1
29,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 2세트,DRX Deft,이즈리얼,패,5,4,2
30,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 1세트,DRX Deft,제리,승,8,2,6
31,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 5세트,DRX Deft,자야,승,3,1,5
32,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 4세트,DRX Deft,제리,승,4,2,9
33,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 3세트,DRX Deft,제리,패,4,3,1
34,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 2세트,DRX Deft,제리,패,4,5,1
35,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 1세트,DRX Deft,제리,승,4,2,7
36,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 4세트,DRX Deft,루시안,패,6,2,5
37,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 3세트,DRX Deft,닐라,승,4,1,9
38,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 2세트,DRX Deft,제리,패,5,3,2
39,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 1세트,DRX Deft,루시안,패,0,3,4
40,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 3세트,DRX Deft,아펠리오스,패,1,5,3
41,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 2세트,DRX Deft,바루스,패,5,3,5
42,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 1세트,DRX Deft,아펠리오스,승,9,3,2
43,22.08.11,2022 LoL 챔피언스 코리아 서머 정규 시즌 42일 차 2경기 2세트,DRX Deft,징크스,패,0,2,0
44,22.08.11,2022 LoL 챔피언스 코리아 서머 정규 시즌 42일 차 2경기 1세트,DRX Deft,징크스,패,0,2,2
45,22.08.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 40일 차 2경기 2세트,DRX Deft,시비르,승,5,2,6
46,22.08.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 40일 차 2경기 1세트,DRX Deft,시비르,승,6,2,9
47,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 3세트,DRX Deft,징크스,승,2,2,7
48,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 2세트,DRX Deft,제리,패,6,2,3
49,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 1세트,DRX Deft,칼리스타,승,9,3,11
50,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 3세트,DRX Deft,베인,패,4,3,2
51,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 2세트,DRX Deft,제리,승,3,0,9
52,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 1세트,DRX Deft,루시안,패,4,2,5
53,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 2세트,DRX Deft,제리,패,3,4,3
54,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 1세트,DRX Deft,시비르,패,0,3,3
55,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 3세트,DRX Deft,징크스,승,7,3,12
56,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 2세트,DRX Deft,자야,패,0,2,0
57,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 1세트,DRX Deft,야스오,승,0,0,7
58,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 3세트,DRX Deft,아펠리오스,승,6,4,11
59,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 2세트,DRX Deft,세나,승,3,1,10
60,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 1세트,DRX Deft,이즈리얼,패,0,2,1
61,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 2세트,DRX Deft,아펠리오스,패,7,4,3
62,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 1세트,DRX Deft,세나,패,0,3,1
63,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 3세트,DRX Deft,루시안,패,3,2,5
64,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 2세트,DRX Deft,세나,패,0,2,5
65,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 1세트,DRX Deft,애쉬,승,5,1,5
66,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 2세트,DRX Deft,아펠리오스,패,2,3,1
67,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 1세트,DRX Deft,코그모,패,6,2,2
68,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 3세트,DRX Deft,루시안,승,3,1,6
69,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 2세트,DRX Deft,세나,패,2,4,3
