,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
0,22.11.06,2022 롤드컵 결승전 5세트,DRX Kingen,아트록스,승,6,3,6
1,22.11.06,2022 롤드컵 결승전 4세트,DRX Kingen,아트록스,승,5,0,5
2,22.11.06,2022 롤드컵 결승전 3세트,DRX Kingen,오른,패,0,3,5
3,22.11.06,2022 롤드컵 결승전 2세트,DRX Kingen,카밀,승,4,3,10
4,22.11.06,2022 롤드컵 결승전 1세트,DRX Kingen,아트록스,패,3,2,1
5,22.10.31,2022 롤드컵 4강 2경기 4세트,DRX Kingen,그라가스,승,1,2,9
6,22.10.31,2022 롤드컵 4강 2경기 3세트,DRX Kingen,오른,승,4,1,6
7,22.10.31,2022 롤드컵 4강 2경기 2세트,DRX Kingen,그라가스,승,2,1,4
8,22.10.31,2022 롤드컵 4강 2경기 1세트,DRX Kingen,카밀,패,1,2,1
9,22.10.24,2022 롤드컵 8강 4경기 5세트,DRX Kingen,피오라,승,2,1,3
10,22.10.24,2022 롤드컵 8강 4경기 4세트,DRX Kingen,카밀,승,6,5,6
11,22.10.24,2022 롤드컵 8강 4경기 3세트,DRX Kingen,아트록스,승,1,2,3
12,22.10.24,2022 롤드컵 8강 4경기 2세트,DRX Kingen,아트록스,패,3,4,5
13,22.10.24,2022 롤드컵 8강 4경기 1세트,DRX Kingen,피오라,패,3,2,1
14,22.10.16,2022 롤드컵 타이브레이커 ,DRX Kingen,카밀,승,3,3,7
15,22.10.16,2022 롤드컵 그룹스테이지 7일차 6경기 ,DRX Kingen,마오카이,패,0,5,2
16,22.10.16,2022 롤드컵 그룹스테이지 7일차 4경기 ,DRX Kingen,아트록스,승,4,0,10
17,22.10.16,2022 롤드컵 그룹스테이지 7일차 3경기 ,DRX Kingen,아트록스,승,3,1,7
18,22.10.11,2022 롤드컵 그룹스테이지 4일차 6경기 ,DRX Kingen,오른,승,3,1,6
19,22.10.10,2022 롤드컵 그룹스테이지 3일차 6경기 ,DRX Kingen,나르,승,2,0,5
20,22.10.09,2022 롤드컵 그룹스테이지 2일차 1경기 ,DRX Kingen,세주아니,패,1,5,4
21,22.10.03,2022 롤드컵 플레이-인 스테이지 4일 차 5경기 ,DRX Kingen,카밀,승,3,3,3
22,22.10.02,2022 롤드컵 플레이-인 스테이지 3일 차 8경기 ,DRX Kingen,사일러스,승,4,1,6
23,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 8경기 ,DRX Kingen,나르,승,3,3,6
24,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 6경기 ,DRX Kingen,아트록스,승,2,0,3
25,22.09.30,2022 롤드컵 플레이-인 스테이지 1일 차 8경기 ,DRX Kingen,아트록스,승,2,5,12
26,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 5세트,DRX Kingen,잭스,승,3,0,8
27,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 4세트,DRX Kingen,아트록스,승,1,2,1
28,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 3세트,DRX Kingen,카밀,패,1,2,3
29,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 2세트,DRX Kingen,그웬,패,2,3,3
30,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 1세트,DRX Kingen,아트록스,승,0,1,11
31,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 5세트,DRX Kingen,아트록스,승,3,1,7
32,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 4세트,DRX Kingen,카밀,승,2,3,5
33,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 3세트,DRX Kingen,그라가스,패,1,4,4
34,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 2세트,DRX Kingen,세주아니,패,0,4,5
35,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 1세트,DRX Kingen,피오라,승,2,2,6
36,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 4세트,DRX Kingen,레넥톤,패,3,1,7
37,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 3세트,DRX Kingen,잭스,승,6,0,4
38,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 2세트,DRX Kingen,그웬,패,2,4,3
39,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 1세트,DRX Kingen,아트록스,패,0,3,2
40,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 3세트,DRX Kingen,오른,패,1,4,2
41,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 2세트,DRX Kingen,올라프,패,5,4,3
42,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 1세트,DRX Kingen,오른,승,0,0,8
