,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
0,22.11.06,2022 롤드컵 결승전 5세트,DRX Zeka,아지르,승,3,2,9
1,22.11.06,2022 롤드컵 결승전 4세트,DRX Zeka,아지르,승,1,1,5
2,22.11.06,2022 롤드컵 결승전 3세트,DRX Zeka,사일러스,패,5,2,3
3,22.11.06,2022 롤드컵 결승전 2세트,DRX Zeka,사일러스,승,5,2,2
4,22.11.06,2022 롤드컵 결승전 1세트,DRX Zeka,사일러스,패,1,4,3
5,22.10.31,2022 롤드컵 4강 2경기 4세트,DRX Zeka,갈리오,승,2,2,9
6,22.10.31,2022 롤드컵 4강 2경기 3세트,DRX Zeka,아칼리,승,7,0,2
7,22.10.31,2022 롤드컵 4강 2경기 2세트,DRX Zeka,아리,승,1,0,5
8,22.10.31,2022 롤드컵 4강 2경기 1세트,DRX Zeka,아지르,패,0,2,0
9,22.10.24,2022 롤드컵 8강 4경기 5세트,DRX Zeka,사일러스,승,10,2,4
10,22.10.24,2022 롤드컵 8강 4경기 4세트,DRX Zeka,아지르,승,6,1,9
11,22.10.24,2022 롤드컵 8강 4경기 3세트,DRX Zeka,사일러스,승,2,2,5
12,22.10.24,2022 롤드컵 8강 4경기 2세트,DRX Zeka,아칼리,패,2,2,2
13,22.10.24,2022 롤드컵 8강 4경기 1세트,DRX Zeka,오리아나,패,3,2,5
14,22.10.16,2022 롤드컵 타이브레이커 ,DRX Zeka,사일러스,승,9,0,3
15,22.10.16,2022 롤드컵 그룹스테이지 7일차 6경기 ,DRX Zeka,아지르,패,0,2,2
16,22.10.16,2022 롤드컵 그룹스테이지 7일차 4경기 ,DRX Zeka,사일러스,승,4,2,4
17,22.10.16,2022 롤드컵 그룹스테이지 7일차 3경기 ,DRX Zeka,아칼리,승,7,0,5
18,22.10.11,2022 롤드컵 그룹스테이지 4일차 6경기 ,DRX Zeka,사일러스,승,10,1,2
19,22.10.10,2022 롤드컵 그룹스테이지 3일차 6경기 ,DRX Zeka,사일러스,승,4,1,3
