,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
0,22.11.06,2022 롤드컵 결승전 5세트,DRX BeryL,바드,승,0,1,10
1,22.11.06,2022 롤드컵 결승전 4세트,DRX BeryL,레나타 글라스크,승,1,0,6
2,22.11.06,2022 롤드컵 결승전 3세트,DRX BeryL,레나타 글라스크,패,1,2,11
3,22.11.06,2022 롤드컵 결승전 2세트,DRX BeryL,하이머딩거,승,1,4,8
4,22.11.06,2022 롤드컵 결승전 1세트,DRX BeryL,헤카림,패,0,3,3
5,22.10.31,2022 롤드컵 4강 2경기 4세트,DRX BeryL,브라움,승,1,2,14
6,22.10.31,2022 롤드컵 4강 2경기 3세트,DRX BeryL,레나타 글라스크,승,0,2,15
7,22.10.31,2022 롤드컵 4강 2경기 2세트,DRX BeryL,럭스,승,1,1,7
8,22.10.31,2022 롤드컵 4강 2경기 1세트,DRX BeryL,소라카,패,0,3,0
9,22.10.24,2022 롤드컵 8강 4경기 5세트,DRX BeryL,카르마,승,0,1,14
10,22.10.24,2022 롤드컵 8강 4경기 4세트,DRX BeryL,애쉬,승,1,3,12
11,22.10.24,2022 롤드컵 8강 4경기 3세트,DRX BeryL,소라카,승,0,2,8
12,22.10.24,2022 롤드컵 8강 4경기 2세트,DRX BeryL,하이머딩거,패,2,7,4
13,22.10.24,2022 롤드컵 8강 4경기 1세트,DRX BeryL,하이머딩거,패,1,4,4
14,22.10.16,2022 롤드컵 타이브레이커 ,DRX BeryL,럭스,승,1,0,7
15,22.10.16,2022 롤드컵 그룹스테이지 7일차 6경기 ,DRX BeryL,룰루,패,1,3,1
16,22.10.16,2022 롤드컵 그룹스테이지 7일차 4경기 ,DRX BeryL,하이머딩거,승,0,2,12
17,22.10.16,2022 롤드컵 그룹스테이지 7일차 3경기 ,DRX BeryL,하이머딩거,승,3,0,7
18,22.10.11,2022 롤드컵 그룹스테이지 4일차 6경기 ,DRX BeryL,렐,승,0,2,5
19,22.10.10,2022 롤드컵 그룹스테이지 3일차 6경기 ,DRX BeryL,브라움,승,1,0,13
20,22.10.09,2022 롤드컵 그룹스테이지 2일차 1경기 ,DRX BeryL,아무무,패,1,5,7
21,22.10.03,2022 롤드컵 플레이-인 스테이지 4일 차 5경기 ,DRX BeryL,유미,승,1,1,11
22,22.10.02,2022 롤드컵 플레이-인 스테이지 3일 차 8경기 ,DRX BeryL,아무무,승,5,1,10
23,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 8경기 ,DRX BeryL,아무무,승,2,3,10
24,22.10.01,2022 롤드컵 플레이-인 스테이지 2일 차 6경기 ,DRX BeryL,탐 켄치,승,0,0,6
25,22.09.30,2022 롤드컵 플레이-인 스테이지 1일 차 8경기 ,DRX BeryL,렐,승,0,2,8
26,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 5세트,DRX BeryL,소라카,승,0,1,19
27,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 4세트,DRX BeryL,룰루,승,0,1,7
28,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 3세트,DRX BeryL,룰루,패,0,3,3
29,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 2세트,DRX BeryL,레나타 글라스크,패,0,4,5
30,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 1세트,DRX BeryL,룰루,승,0,4,17
31,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 5세트,DRX BeryL,유미,승,1,0,10
32,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 4세트,DRX BeryL,룰루,승,1,1,12
33,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 3세트,DRX BeryL,룰루,패,0,3,6
34,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 2세트,DRX BeryL,레나타 글라스크,패,0,4,2
35,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 1세트,DRX BeryL,유미,승,3,3,15
36,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 4세트,DRX BeryL,나미,패,0,3,13
37,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 3세트,DRX BeryL,노틸러스,승,0,3,13
38,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 2세트,DRX BeryL,레오나,패,0,4,6
39,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 1세트,DRX BeryL,나미,패,0,4,5
40,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 3세트,DRX BeryL,레오나,패,1,3,4
41,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 2세트,DRX BeryL,브라움,패,0,3,12
42,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 1세트,DRX BeryL,레나타 글라스크,승,1,0,13
