,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
0,22.11.06,2022 롤드컵 결승전 5세트,DRX Pyosik,헤카림,승,5,4,8
1,22.11.06,2022 롤드컵 결승전 4세트,DRX Pyosik,마오카이,승,4,0,6
2,22.11.06,2022 롤드컵 결승전 3세트,DRX Pyosik,비에고,패,2,2,6
3,22.11.06,2022 롤드컵 결승전 2세트,DRX Pyosik,비에고,승,1,3,10
4,22.11.06,2022 롤드컵 결승전 1세트,DRX Pyosik,비에고,패,0,3,3
5,22.10.31,2022 롤드컵 4강 2경기 4세트,DRX Pyosik,킨드레드,승,6,2,6
6,22.10.31,2022 롤드컵 4강 2경기 3세트,DRX Pyosik,비에고,승,6,0,7
7,22.10.31,2022 롤드컵 4강 2경기 2세트,DRX Pyosik,킨드레드,승,0,1,4
8,22.10.31,2022 롤드컵 4강 2경기 1세트,DRX Pyosik,세주아니,패,1,2,1
9,22.10.24,2022 롤드컵 8강 4경기 5세트,DRX Pyosik,비에고,승,4,2,7
10,22.10.24,2022 롤드컵 8강 4경기 4세트,DRX Pyosik,세주아니,승,3,1,14
11,22.10.24,2022 롤드컵 8강 4경기 3세트,DRX Pyosik,킨드레드,승,1,1,6
12,22.10.24,2022 롤드컵 8강 4경기 2세트,DRX Pyosik,뽀삐,패,1,1,5
13,22.10.24,2022 롤드컵 8강 4경기 1세트,DRX Pyosik,그레이브즈,패,1,3,2
14,22.10.16,2022 롤드컵 타이브레이커 ,DRX Pyosik,바이,승,2,1,10
15,22.10.16,2022 롤드컵 그룹스테이지 7일차 6경기 ,DRX Pyosik,그레이브즈,패,1,4,2
16,22.10.16,2022 롤드컵 그룹스테이지 7일차 4경기 ,DRX Pyosik,비에고,승,3,1,8
17,22.10.16,2022 롤드컵 그룹스테이지 7일차 3경기 ,DRX Pyosik,바이,승,2,1,8
18,22.10.11,2022 롤드컵 그룹스테이지 4일차 6경기 ,DRX Pyosik,킨드레드,승,1,1,10
19,22.10.10,2022 롤드컵 그룹스테이지 3일차 6경기 ,DRX Pyosik,그레이브즈,승,6,0,8
20,22.10.03,2022 롤드컵 플레이-인 스테이지 4일 차 5경기 ,DRX Pyosik,세주아니,승,0,3,5
21,22.10.02,2022 롤드컵 플레이-인 스테이지 3일 차 8경기 ,DRX Pyosik,세주아니,승,2,1,14
22,22.09.30,2022 롤드컵 플레이-인 스테이지 1일 차 8경기 ,DRX Pyosik,마오카이,승,2,1,11
23,22.09.03,2022 월드 챔피언십 LCK 대표 선발전 최종전 3세트,DRX Pyosik,바이,패,3,5,2
24,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 3세트,DRX Pyosik,오공,패,3,4,4
25,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 2세트,DRX Pyosik,트런들,패,2,5,3
26,22.09.02,2022 월드 챔피언십 LCK 대표 선발전 2경기 1세트,DRX Pyosik,오공,승,1,3,13
27,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 4세트,DRX Pyosik,모르가나,패,3,4,8
28,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 3세트,DRX Pyosik,뽀삐,승,3,3,11
29,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 2세트,DRX Pyosik,뽀삐,패,1,3,5
30,22.08.17,2022 LCK 서머 포스트 시즌 1R 1경기 1세트,DRX Pyosik,뽀삐,패,3,5,1
31,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 3세트,DRX Pyosik,오공,패,3,5,1
32,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 2세트,DRX Pyosik,오공,패,3,6,6
33,22.08.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 45일 차 1경기 1세트,DRX Pyosik,바이,승,3,0,9
34,22.08.11,2022 LoL 챔피언스 코리아 서머 정규 시즌 42일 차 2경기 2세트,DRX Pyosik,비에고,패,0,3,0
35,22.08.11,2022 LoL 챔피언스 코리아 서머 정규 시즌 42일 차 2경기 1세트,DRX Pyosik,오공,패,0,3,0
36,22.08.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 40일 차 2경기 2세트,DRX Pyosik,트런들,승,2,1,8
37,22.08.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 40일 차 2경기 1세트,DRX Pyosik,신 짜오,승,5,2,9
38,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 3세트,DRX Pyosik,리 신,승,3,1,9
39,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 2세트,DRX Pyosik,비에고,패,2,2,6
40,22.08.05,2022 LoL 챔피언스 코리아 서머 정규 시즌 38일 차 1경기 1세트,DRX Pyosik,비에고,승,7,3,14
41,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 3세트,DRX Pyosik,트런들,패,0,5,5
42,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 2세트,DRX Pyosik,트런들,승,4,2,9
43,22.07.30,2022 LoL 챔피언스 코리아 서머 정규 시즌 34일 차 1경기 1세트,DRX Pyosik,리 신,패,2,5,7
44,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 2세트,DRX Pyosik,리 신,패,2,5,5
45,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 1세트,DRX Pyosik,오공,패,2,5,1
